103	2015-01-23 12:15:34	0	1
194	2015-01-23 14:09:38	0	1
103	2015-01-24 11:59:36	0	1
103	2015-01-24 11:59:48	0	1
103	2015-01-24 11:59:51	0	1
103	2015-01-24 17:01:14	0	1
5	2015-01-24 17:01:20	0	1
5	2015-01-24 17:01:23	0	1
103	2015-01-23 12:15:34	0	1
194	2015-01-23 14:09:38	0	1
103	2015-01-24 11:59:36	0	1
103	2015-01-24 11:59:48	0	1
103	2015-01-24 11:59:51	0	1
103	2015-01-24 17:01:14	0	1
5	2015-01-24 17:01:20	0	1
5	2015-01-24 17:01:23	0	1
103	2015-01-23 12:15:34	0	1
194	2015-01-23 14:09:38	0	1
103	2015-01-24 11:59:36	0	1
103	2015-01-24 11:59:48	0	1
103	2015-01-24 11:59:51	0	1
103	2015-01-24 17:01:14	0	1
5	2015-01-24 17:01:20	0	1
5	2015-01-24 17:01:23	0	1
103	2015-01-23 12:15:34	0	1
194	2015-01-23 14:09:38	0	1
103	2015-01-24 11:59:36	0	1
103	2015-01-24 11:59:48	0	1
103	2015-01-24 11:59:51	0	1
103	2015-01-24 17:01:14	0	1
5	2015-01-24 17:01:20	0	1
5	2015-01-24 17:01:23	0	1
